Experiment 	Species	hour_male	date_male	hour_female	date_female	hour_experiment	date_experiment	male 	female	contact_time	concentration 	fertilisation 	eggs_found	eggs_fertilised	SLS	sperm_per_egg	cross
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30sec	0	0	23	0	yes	0	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30sec	500	9,523809524	21	2	yes	100	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30sec	2500	8,695652174	23	2	yes	500	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30sec	5000	56,52173913	23	13	yes	1000	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	1min	0	0	24	0	yes	0	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	1min	500	7,407407407	27	2	yes	100	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	1min	2500	29,41176471	34	10	yes	500	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	1min	5000	48,27586207	29	14	yes	1000	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	10min	0	0	24	0	yes	0	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	10min	500	56,25	32	18	yes	100	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	10min	2500	87,87878788	33	29	yes	500	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	10min	5000	91,30434783	46	42	yes	1000	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30min	0	0	41	0	yes	0	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30min	500	70,45454545	44	31	yes	100	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30min	2500	90,625	32	29	yes	500	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30min	5000	92,68292683	41	38	yes	1000	52-50
1	Desmo	18:30	2024-07-14	18:30	2024-07-14	22:22	2024-07-14	52	50	30min	2500	100	45	45	no	500	52-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	30sec	0	6,896551724	29	2	yes	0	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	30sec	500	5,882352941	34	2	yes	100	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	30sec	2500	20,45454545	44	9	yes	500	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	30sec	5000	52,27272727	44	23	yes	1000	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	1min	0	0	36	0	yes	0	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	1min	500	2,941176471	34	1	yes	100	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	1min	2500	21,21212121	33	7	yes	500	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	1min	5000	41,17647059	34	14	yes	1000	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	10min	0	0	44	0	yes	0	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	10min	500	38,0952381	42	16	yes	100	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	10min	2500	58,69565217	46	27	yes	500	54-50
2	Desmo	19:07	2024-07-18	19:20	2024-07-18	21:45	2024-07-18	54	50	10min	5000	70,83333333	48	34	yes	1000	54-50
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30sec	0	0	45	0	yes	0	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30sec	500	10,20408163	49	5	yes	100	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30sec	2500	10,41666667	48	5	yes	500	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30sec	5000	20,93023256	43	9	yes	1000	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	1min	0	0	50	0	yes	0	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	1min	500	15,55555556	45	7	yes	100	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	1min	2500	30,43478261	46	14	yes	500	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	1min	5000	28,57142857	42	12	yes	1000	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	10min	0	0	50	0	yes	0	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	10min	500	15	40	6	yes	100	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	10min	2500	51,51515152	33	17	yes	500	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	10min	5000	89,58333333	48	43	yes	1000	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30min	0	0	52	0	yes	0	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30min	500	24,48979592	49	12	yes	100	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30min	2500	57,14285714	35	20	yes	500	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30min	5000	72,72727273	44	32	yes	1000	51-49
3	Desmo	16:30	2024-07-21	17:00	2024-07-21	20:43	2024-07-21	51	49	30min	2500	53,06122449	49	26	no	500	51-49
4	Desmo	16:43	2024-07-21	17:00	2024-07-21	22:04	2024-07-21	38	49	30sec	0	0	48	0	yes	0	38-49
