date	cross	male	female	concentration	particles	fertilised	fertilisation	Experiment_n	species	sperm_age.hours	egg_age.hours	sperm_age_imputed	egg_age_imputed	conc_log
23-01-2023	LL48/LL46	LL48	LL46	0	10	0	0	1	D. pertusum	2.41666	3	FALSE	TRUE	0
23-01-2023	LL48/LL46	LL48	LL46	160000	8	0	0	1	D. pertusum	2.41666	3	FALSE	TRUE	5.20412269698795
23-01-2023	LL48/LL46	LL48	LL46	8e+05	9	1	11.11111111	1	D. pertusum	2.41666	3	FALSE	TRUE	5.90309052985971
23-01-2023	LL48/LL46	LL48	LL46	1600000	7	5	71.42857143	1	D. pertusum	2.41666	3	FALSE	TRUE	6.20412025408989
23-01-2023	LL48/LL46	LL48	LL46	3200000	8	4	50	1	D. pertusum	2.41666	3	FALSE	TRUE	6.50515011403691
23-01-2023	LL48/LL46	LL48	LL46	4800000	10	7	70	1	D. pertusum	2.41666	3	FALSE	TRUE	6.6812413278536
23-01-2023	LL48/LL46	LL48	LL46	6400000	10	5	50	1	D. pertusum	2.41666	3	FALSE	TRUE	6.8061800418424
23-01-2023	LL48/LL46	LL48	LL46	8e+06	8	4	50	1	D. pertusum	2.41666	3	FALSE	TRUE	6.90309004127875
23-01-2023	LL48/LL46	LL48	LL46	9600000	8	1	12.5	1	D. pertusum	2.41666	3	FALSE	TRUE	6.98227127827857
23-01-2023	LL48/LL46	LL48	LL46	11200000	9	2	22.22	1	D. pertusum	2.41666	3	FALSE	TRUE	7.04921806144647
25-01-2023	LL47/LL46	LL47	LL46	0	10	0	0	2	D. pertusum	1	3	FALSE	TRUE	0
25-01-2023	LL47/LL46	LL47	LL46	160000	8	3	37.5	2	D. pertusum	1	3	FALSE	TRUE	5.20412269698795
25-01-2023	LL47/LL46	LL47	LL46	4e+05	8	3	37.5	2	D. pertusum	1	3	FALSE	TRUE	5.60206107706281
25-01-2023	LL47/LL46	LL47	LL46	8e+05	10	8	80	2	D. pertusum	1	3	FALSE	TRUE	5.90309052985971
25-01-2023	LL47/LL46	LL47	LL46	3200000	9	6	66.66666667	2	D. pertusum	1	3	FALSE	TRUE	6.50515011403691
25-01-2023	LL47/LL44	LL47	LL44	0	7	0	0	3	D. pertusum	12	3	FALSE	TRUE	0
25-01-2023	LL47/LL44	LL47	LL44	160000	7	5	71.4285714	3	D. pertusum	12	3	FALSE	TRUE	5.20412269698795
25-01-2023	LL47/LL44	LL47	LL44	8e+05	7	7	100	3	D. pertusum	12	3	FALSE	TRUE	5.90309052985971
26-01-2023	LL47/LL45	LL47	LL45	0	8	0	0	4	D. pertusum	3	3	TRUE	TRUE	0
26-01-2023	LL47/LL45	LL47	LL45	3200000	7	5	71.42857143	4	D. pertusum	3	3	TRUE	TRUE	6.50515011403691
26-01-2023	LL47/LL45	LL47	LL45	1.6e+07	7	6	85.71428571	4	D. pertusum	3	3	TRUE	TRUE	7.20412000979933
26-01-2023	LL47/LL45	LL47	LL45	0	9	0	0	5	D. pertusum	5.5	3	FALSE	TRUE	0
26-01-2023	LL47/LL45	LL47	LL45	160000	8	5	62.5	5	D. pertusum	5.5	3	FALSE	TRUE	5.20412269698795
26-01-2023	LL47/LL45	LL47	LL45	8e+05	6	6	100	5	D. pertusum	5.5	3	FALSE	TRUE	5.90309052985971
26-01-2023	LL47/LL45	LL47	LL45	1600000	8	8	100	5	D. pertusum	5.5	3	FALSE	TRUE	6.20412025408989
26-01-2023	LL47/LL46	LL47	LL46	0	7	0	0	6	D. pertusum	5.5	3	FALSE	TRUE	0
26-01-2023	LL47/LL46	LL47	LL46	1600000	10	9	90	6	D. pertusum	5.5	3	FALSE	TRUE	6.20412025408989
11-02-2023	LL48/LL43	LL48	LL43	0	9	0	0	10	D. pertusum	3	3	TRUE	TRUE	0
11-02-2023	LL48/LL43	LL48	LL43	160000	9	7	77.77777778	10	D. pertusum	3	3	TRUE	TRUE	5.20412269698795
11-02-2023	LL48/LL43	LL48	LL43	8e+05	8	3	37.5	10	D. pertusum	3	3	TRUE	TRUE	5.90309052985971
11-02-2023	LL48/LL43	LL48	LL43	1600000	8	3	37.5	10	D. pertusum	3	3	TRUE	TRUE	6.20412025408989
11-02-2023	LL48/LL38	LL48	LL38	0	3	0	0	11	D. pertusum	3	3	TRUE	TRUE	0
11-02-2023	LL48/LL38	LL48	LL38	160000	7	6	85.71428571	11	D. pertusum	3	3	TRUE	TRUE	5.20412269698795
11-02-2023	LL48/LL38	LL48	LL38	8e+05	8	5	62.5	11	D. pertusum	3	3	TRUE	TRUE	5.90309052985971
11-02-2023	LL48/LL38	LL48	LL38	1600000	5	0	0	11	D. pertusum	3	3	TRUE	TRUE	6.20412025408989
11-02-2023	LL36/LL43	LL36	LL43	0	10	0	0	12	D. pertusum	3	12	TRUE	FALSE	0
