"Date","Species","Cross","Fert. class","Egg age (h)","Sperm age (h)","Benchmark label","P(fertilisation probability ≥ 0.5 at benchmark)","Predicted fertilisation at benchmark"
"23-07-06","D. dianthus","Dd09-Dd26","High","3*","3*","10^4","0.938","0.618"
"23-07-06","D. dianthus","Dd22-Dd26","High","3*","3*","10^4","0.999","0.765"
"23-07-11","D. dianthus","Dd20-Dd23","High","3*","3*","10^4","1.000","0.936"
"23-07-11","D. dianthus","Dd20-Dd24","High","3*","3*","10^4","1.000","0.937"
"23-07-11","D. dianthus","Dd30-Dd23","High","3*","3*","10^4","1.000","0.974"
"24-07-03","D. dianthus","Dd32-Dd55","High","4.166666667","4.216666667","10^4","1.000","0.956"
"24-07-03","D. dianthus","Dd54-Dd44","High","1.833333333","3.25","10^4","1.000","0.922"
"24-07-03","D. dianthus","Dd54-Dd55","High","3","3.25","10^4","1.000","0.987"
"24-07-03","D. dianthus","Dd56-Dd55","High","3.833333333","4.583333333","10^4","1.000","0.999"
"24-07-08","D. dianthus","Dd39-Dd44","High","2.083333333","3.083333333","10^4","1.000","0.909"
"24-07-08","D. dianthus","Dd43-Dd44","High","2.166666667","3.166666667","10^4","1.000","0.999"
"24-07-08","D. dianthus","Dd56-Dd44","High","2","3","10^4","1.000","1.000"
"23-01-23","D. pertusum","LL48-LL46","Low","3*","2.41666","10^6","0.000","0.326"
"23-01-25","D. pertusum","LL47-LL44","High","3*","12","10^6","1.000","0.875"
"23-01-25","D. pertusum","LL47-LL46","High","3*","1","10^6","0.988","0.667"
"23-01-26","D. pertusum","LL47-LL45","High","3*","3*","10^6","1.000","0.811"
"23-01-26","D. pertusum","LL47-LL46","High","3*","5.5","10^6","0.988","0.667"
"23-02-11","D. pertusum","LL36-LL38","High","12","3*","10^6","0.999","0.846"
"23-02-11","D. pertusum","LL36-LL43","High","12","3*","10^6","1.000","0.892"
"23-02-11","D. pertusum","LL48-LL38","Low","3*","3*","10^6","0.742","0.573"
"23-02-11","D. pertusum","LL48-LL43","Low","3*","3*","10^6","0.691","0.550"
"24-02-07","D. pertusum","LL72-LL70","Never","12.78","2.45","10^6",NA,NA
"24-02-08","D. pertusum","LL54-LL70","Never","15","1.75","10^6",NA,NA
"24-02-18","D. pertusum","LL59-LL65","Low","0.666666667","4.16666","10^6","0.591","0.521"
"24-02-20","D. pertusum","LL69-LL63","High","7","8","10^6","1.000","0.685"
"24-03-21","D. pertusum","LL52-LL62","Low","3.58","3.33","10^6","0.188","0.446"
"24-03-21","D. pertusum","LL54-LL62","High","5.9","4.65","10^6","0.807","0.582"
"25-01-20","D. pertusum","LL79-LL64","Low","2.33","3.83","10^6","0.000","0.053"
"25-02-07","D. pertusum","LL80-LL83","Never","3.23","3.57","10^6",NA,NA
"25-02-07","D. pertusum","LL81-LL83","Never","3.23","3.07","10^6",NA,NA
