"Species","Cross","Date","Experiment within cross","Replicate timing","n concentrations","Concentrations tested (sperm mL^-1)"
"D. dianthus","Dd09-Dd26","23-07-06",1,"not replicated",6,"0, 10000, 50000, 1e+05, 2e+05, 3e+05"
"D. dianthus","Dd22-Dd26","23-07-06",1,"not replicated",9,"0, 10000, 50000, 1e+05, 2e+05, 3e+05, 4e+05, 9e+05, 1e+06"
"D. dianthus","Dd20-Dd23","23-07-11",1,"not replicated",19,"0, 500, 1000, 2500, 5000, 10000, 25000, 50000, 1e+05, 2e+05, 3e+05, 4e+05, 5e+05, 6e+05, 7e+05, 8e+05, 9e+05, 1e+06, 5e+06"
"D. dianthus","Dd20-Dd24","23-07-11",1,"not replicated",19,"0, 500, 1000, 2500, 5000, 10000, 25000, 50000, 1e+05, 2e+05, 3e+05, 4e+05, 5e+05, 6e+05, 7e+05, 8e+05, 9e+05, 1e+06, 5e+06"
"D. dianthus","Dd30-Dd23","23-07-11",1,"not replicated",15,"0, 500, 1000, 2500, 5000, 10000, 50000, 1e+05, 2e+05, 3e+05, 4e+05, 5e+05, 6e+05, 7e+05, 8e+05"
"D. dianthus","Dd32-Dd55","24-07-03",1,"not replicated",8,"0, 500, 1000, 5000, 10000, 1e+05, 5e+05, 1e+06"
"D. dianthus","Dd54-Dd44","24-07-03",1,"not replicated",8,"0, 500, 1000, 5000, 10000, 1e+05, 5e+05, 1e+06"
"D. dianthus","Dd54-Dd55","24-07-03",1,"not replicated",8,"0, 500, 1000, 5000, 10000, 1e+05, 5e+05, 1e+06"
"D. dianthus","Dd56-Dd55","24-07-03",1,"not replicated",8,"0, 500, 1000, 5000, 10000, 50000, 1e+05, 250000"
"D. dianthus","Dd39-Dd44","24-07-08",1,"not replicated",6,"0, 50, 100, 250, 500, 1000"
"D. dianthus","Dd43-Dd44","24-07-08",1,"not replicated",6,"0, 50, 100, 250, 500, 1000"
"D. dianthus","Dd56-Dd44","24-07-08",1,"not replicated",6,"0, 50, 100, 250, 500, 1000"
"D. pertusum","LL48-LL46","23-01-23",1,"not replicated",10,"0, 160000, 8e+05, 1600000, 3200000, 4800000, 6400000, 8e+06, 9600000, 11200000"
"D. pertusum","LL47-LL44","23-01-25",1,"not replicated",3,"0, 160000, 8e+05"
"D. pertusum","LL47-LL46","23-01-25",1,"different days",5,"0, 160000, 4e+05, 8e+05, 3200000"
"D. pertusum","LL47-LL45","23-01-26",1,"same day",3,"0, 3200000, 1.6e+07"
"D. pertusum","LL47-LL45","23-01-26",2,"same day",4,"0, 160000, 8e+05, 1600000"
"D. pertusum","LL47-LL46","23-01-26",2,"different days",2,"0, 1600000"
"D. pertusum","LL36-LL38","23-02-11",1,"not replicated",4,"0, 160000, 4e+05, 8e+05"
"D. pertusum","LL36-LL43","23-02-11",1,"not replicated",4,"0, 160000, 4e+05, 8e+05"
"D. pertusum","LL48-LL38","23-02-11",1,"not replicated",4,"0, 160000, 8e+05, 1600000"
"D. pertusum","LL48-LL43","23-02-11",1,"not replicated",4,"0, 160000, 8e+05, 1600000"
"D. pertusum","LL72-LL70","24-02-07",1,"not replicated",8,"0, 10000, 20000, 30000, 40000, 50000, 125000, 250000"
"D. pertusum","LL54-LL70","24-02-08",1,"not replicated",4,"0, 20000, 30000, 1e+05"
"D. pertusum","LL59-LL65","24-02-18",1,"not replicated",6,"0, 50000, 1e+05, 175000, 375000, 675000"
"D. pertusum","LL69-LL63","24-02-20",1,"not replicated",14,"0, 10000, 20000, 30000, 40000, 70000, 80000, 1e+05, 175000, 5e+05, 625000, 725000, 850000, 1e+06"
"D. pertusum","LL52-LL62","24-03-21",1,"same day",6,"0, 50000, 1e+05, 2e+05, 4e+05, 550000"
"D. pertusum","LL52-LL62","24-03-21",2,"same day",6,"0, 50000, 1e+05, 2e+05, 4e+05, 550000"
"D. pertusum","LL54-LL62","24-03-21",1,"not replicated",5,"0, 50000, 1e+05, 2e+05, 4e+05"
"D. pertusum","LL79-LL64","25-01-20",1,"same day",5,"0, 10000, 1e+05, 6e+05, 1e+06"
"D. pertusum","LL79-LL64","25-01-20",2,"same day",5,"0, 10000, 1e+05, 6e+05, 1e+06"
"D. pertusum","LL80-LL83","25-02-07",1,"not replicated",4,"0, 30000, 3e+05, 6e+05"
"D. pertusum","LL81-LL83","25-02-07",1,"not replicated",4,"0, 30000, 3e+05, 6e+05"
