"cross","p_reach_target","prob_median","line_group","species"
"20-23",1,0.935524390167906,"D. dianthus – High","D. dianthus"
"20-24",1,0.936832369540208,"D. dianthus – High","D. dianthus"
"22-26",0.999125,0.765421615794241,"D. dianthus – High","D. dianthus"
"30-23",1,0.973588505071085,"D. dianthus – High","D. dianthus"
"32-55",1,0.955860254003721,"D. dianthus – High","D. dianthus"
"39-44",1,0.909297706317304,"D. dianthus – High","D. dianthus"
"43-44",1,0.998631742630283,"D. dianthus – High","D. dianthus"
"54-44",1,0.922353038793826,"D. dianthus – High","D. dianthus"
"54-55",1,0.986873105908035,"D. dianthus – High","D. dianthus"
"56-44",1,0.999596131635606,"D. dianthus – High","D. dianthus"
"56-55",1,0.998635222106268,"D. dianthus – High","D. dianthus"
"9.1-26",0.938,0.618387989876116,"D. dianthus – High","D. dianthus"
