"cross","p_reach_target","prob_median","line_group","species"
"LL36/LL38",0.999375,0.845864893799182,"D. pertusum – High","D. pertusum"
"LL36/LL43",1,0.891999604968755,"D. pertusum – High","D. pertusum"
"LL47/LL44",0.99975,0.874665585776187,"D. pertusum – High","D. pertusum"
"LL47/LL45",1,0.8106822375254,"D. pertusum – High","D. pertusum"
"LL47/LL46",0.9875,0.667267623732686,"D. pertusum – High","D. pertusum"
"LL48/LL38",0.74225,0.572698309839543,"D. pertusum – Low","D. pertusum"
"LL48/LL43",0.69125,0.549663100367265,"D. pertusum – Low","D. pertusum"
"LL48/LL46",0.000375,0.325991591449331,"D. pertusum – Low","D. pertusum"
"LL52/LL62",0.188375,0.446145401596842,"D. pertusum – Low","D. pertusum"
"LL54/LL62",0.8075,0.582295387334076,"D. pertusum – High","D. pertusum"
"LL59/LL65",0.591375,0.520528463167458,"D. pertusum – Low","D. pertusum"
"LL69/LL63",0.99975,0.684771125460504,"D. pertusum – High","D. pertusum"
"LL79/LL64",0,0.0527473511633598,"D. pertusum – Low","D. pertusum"
